Sigla,Código,Município,1998
BA,2919058,Lajedo do Tabocal,40.2230555556
BA,2919108,Lamarão,38.9
BA,2919157,Lapão,41.8319444444
BA,2919207,Lauro de Freitas,38.3272222222
BA,2919306,Lençóis,41.39
BA,2919405,Licínio de Almeida,42.5075
BA,2919504,Livramento de Nossa Senhora,41.8405555556
BA,2919553,Luís Eduardo Magalhães,
BA,2919603,Macajuba,40.36
BA,2919702,Macarani,40.4230555556
BA,2919801,Macaúbas,42.6986111111
BA,2919900,Macururé,39.0575
BA,2919926,Madre de Deus,38.6208333333
BA,2919959,Maetinga,41.4916666667
BA,2920007,Maiquinique,40.2661111111
BA,2920106,Mairi,40.1488888889
BA,2920205,Malhada,43.7736111111
BA,2920304,Malhada de Pedras,41.8791666667
BA,2920403,Manoel Vitorino,40.2425
BA,2920452,Mansidão,44.0344444444
BA,2920502,Maracás,40.4308333333
BA,2920601,Maragogipe,38.9194444444
BA,2920700,Maraú,39.0147222222
BA,2920809,Marcionílio Souza,40.5305555556
BA,2920908,Mascote,39.3025
BA,2921005,Mata de São João,38.2991666667
BA,2921054,Matina,42.8494444444
BA,2921104,Medeiros Neto,40.2205555556
BA,2921203,Miguel Calmon,40.595
BA,2921302,Milagres,39.8588888889
BA,2921401,Mirangaba,40.5758333333
BA,2921450,Mirante,40.7783333333
BA,2921500,Monte Santo,39.3327777778
BA,2921609,Morpará,43.2808333333
BA,2921708,Morro do Chapéu,41.1561111111
BA,2921807,Mortugaba,42.3680555556
BA,2921906,Mucugê,41.3708333333
BA,2922003,Mucuri,39.5508333333
BA,2922052,Mulungu do Morro,41.6388888889
BA,2922102,Mundo Novo,40.4725
BA,2922201,Muniz Ferreira,39.11
BA,2922250,Muquém de São Francisco,43.8327777778
BA,2922300,Muritiba,38.99
BA,2922409,Mutuípe,39.5047222222
BA,2922508,Nazaré,39.0144444444
BA,2922607,Nilo Peçanha,39.1069444444
BA,2922656,Nordestina,39.4269444444
BA,2922706,Nova Canaã,40.1425
