Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AM,1300805,Borba,,,,,,,,1,1,,2,4,1,1,4,6,4,1,4,5,5,1,9,6,6,9,9,6,9
AM,1300839,Caapiranga,,,,,,,,,,1,,,,,,,,1,,,1,2,,1,1,2,4,4,1
AM,1300904,Canutama,,,,,1,,,,,,,,1,1,,,3,3,2,1,2,1,2,,2,2,4,3,2
AM,1301001,Carauari,1,,,5,1,1,1,4,,2,2,1,1,5,5,6,2,3,2,6,6,7,4,3,7,3,4,7,5
AM,1301100,Careiro,,1,,1,,,1,2,,3,2,4,4,1,2,5,5,6,5,4,2,8,9,4,7,14,16,13,7
AM,1301159,Careiro da Várzea,,1,,,1,,,1,1,,1,,,3,2,,3,,1,,,1,,,,1,,1,5
AM,1301209,Coari,4,3,1,2,,5,5,5,10,9,3,8,13,8,12,6,14,16,17,22,22,22,34,29,50,76,49,44,67
AM,1301308,Codajás,,,,,1,1,,,,,1,,2,,,6,1,1,5,3,1,7,1,1,5,4,7,8,3
AM,1301407,Eirunepé,,,,,1,,,,,1,4,2,1,7,2,3,9,9,6,10,6,11,17,11,19,15,27,25,13
AM,1301506,Envira,,,,1,2,2,1,1,2,1,1,3,,5,3,3,4,3,,1,1,1,4,3,6,6,7,8,7
AM,1301605,Fonte Boa,,,,,,,,,4,,1,4,1,,1,,2,,6,1,1,3,2,2,5,6,7,9,9
AM,1301654,Guajará,,,1,1,,1,,3,1,1,,,,2,,,1,,,3,4,1,1,6,,6,9,4,1
AM,1301704,Humaitá,1,5,1,,1,7,,6,1,4,3,6,4,6,6,7,4,7,5,7,13,8,5,5,7,8,11,10,16
AM,1301803,Ipixuna,,,,,,,1,1,,2,,,2,,,1,1,,,,1,,1,1,1,3,2,5,1
AM,1301852,Iranduba,2,2,2,4,3,1,2,2,4,5,2,5,3,5,12,8,8,5,13,4,12,11,27,22,22,25,21,16,11
AM,1301902,Itacoatiara,,2,3,5,1,2,1,7,4,6,11,7,4,6,11,9,7,9,12,16,23,22,16,22,26,28,20,32,28
